"","n=200","n=500","n=1000","n=2000","n=5000"
"given",0.00799999999999308,0.0400000000002592,0.112000000000092,0.394500000000061,2.5354999999999
"single_start",0.122499999999944,0.532499999999775,2.36400000000002,7.69999999999992,38.957
"multi_start",0.614499999999997,4.79799999999993,22.9720000000001,74.3885000000001,374.706
"given_gp",0.0139999999995595,0.17400000000058,1.22349999999974,9.0255000000003,145.7435
"optim_gp",0.750000000000189,8.65750000000051,73.476,471,6619.0835
