"","n=200","n=500","n=1000","n=2000","n=5000"
"given",0.0011500000005777,0.00484999999981048,0.0220999999977754,0.0865000000007747,0.638699999999469
"single_start",0.0113999999995729,0.067899999998826,0.293750000000022,1.37389999999967,10.3833500000015
"multi_start",0.107800000000621,0.64785000000144,2.80585000000066,13.1097499999997,100.110599999999
"given_gp",0.00629999999957511,0.0757499999998585,0.669299999999345,5.83750000000042,107.772150000001
"optim_gp",0.263150000002068,3.53949999999964,39.7424500000001,303.94665,4926.43735
