"Model","AUC","Brier score","Elapsed time (s)"
"BKP",0.888172043010751,0.069057459910441,9.04300000000001
"TwinBKP",0.912783751493429,0.0674285154870047,0.0530000000000115
"LGP",0.852449223416964,0.0798346075546679,541.817
